ISO,R5,AIM,GCAM4,IMAGE,MESSAGE,REMIND,WITCH,WITCH_MADEUP,EU27,EU28,World,EARTH
ITA,R5OECD,XE25,EU-15,WEU,WEU,EUR,WITCH_OLDEURO,EUROPE,EU27,EU28,World,EARTH
CIV,R5MAF,XAF,Africa_Western,WAF,AFR,AFR,WITCH_SSA,SSA,,,World,EARTH
IRQ,R5MAF,XME,Middle East,ME,MEA,MEA,WITCH_MENA,MENA,,,World,EARTH
JPN,R5OECD,JPN,Japan,JAP,PAO,JPN,WITCH_CAJANZ,CAJAZ,,,World,EARTH
JAM,R5LAM,XLM,Central America and Caribbean,RCAM,LAM,LAM,WITCH_LACA,LACA,,,World,EARTH
JOR,R5MAF,XME,Middle East,ME,MEA,MEA,WITCH_MENA,MENA,,,World,EARTH
KEN,R5MAF,XAF,Africa_Eastern,EAF,AFR,AFR,WITCH_SSA,SSA,,,World,EARTH
KGZ,R5REF,CIS,Central Asia,STAN,FSU,MEA,WITCH_TE,TE,,,World,EARTH
PRK,R5ASIA,XSE,Southeast Asia,KOR,CPA,OAS,WITCH_EASIA,EASIA,,,World,EARTH
KIR,R5ASIA,XSA,Southeast Asia,OCE,PAS,OAS,WITCH_EASIA,EASIA,,,World,EARTH
KOR,R5ASIA,XSE,South Korea,KOR,PAS,OAS,WITCH_KOSAU,KOSAU,,,World,EARTH
KWT,R5MAF,XME,Middle East,ME,MEA,MEA,WITCH_MENA,MENA,,,World,EARTH
KAZ,R5REF,CIS,Central Asia,STAN,FSU,MEA,WITCH_TE,TE,,,World,EARTH
LAO,R5ASIA,XSE,Southeast Asia,SEAS,CPA,OAS,WITCH_EASIA,EASIA,,,World,EARTH
LBN,R5MAF,XME,Middle East,ME,MEA,MEA,WITCH_MENA,MENA,,,World,EARTH
LVA,R5OECD,XE25,EU-12,CEU,EEU,EUR,WITCH_NEWEU,EUROPE,EU27,EU28,World,EARTH
BLR,R5REF,CIS,Central Asia,UKR,FSU,ROW,WITCH_TE,TE,,,World,EARTH
LTU,R5OECD,XE25,EU-12,CEU,EEU,EUR,WITCH_NEWEU,EUROPE,EU27,EU28,World,EARTH
LBR,R5MAF,XAF,Africa_Western,WAF,AFR,AFR,WITCH_SSA,SSA,,,World,EARTH
SVK,R5OECD,XE25,EU-12,CEU,EEU,EUR,WITCH_NEWEU,EUROPE,EU27,EU28,World,EARTH
LIE,R5OECD,XER,European Free Trade Association,WEU,WEU,ROW,WITCH_OLDEURO,EUROPE,,,World,EARTH
LBY,R5MAF,XNF,Africa_Northern,NAF,MEA,MEA,WITCH_MENA,MENA,,,World,EARTH
MDG,R5MAF,XAF,Africa_Eastern,EAF,AFR,AFR,WITCH_SSA,SSA,,,World,EARTH
MTQ,R5LAM,XLM,Central America and Caribbean,RCAM,LAM,LAM,,,,,World,EARTH
MNG,R5ASIA,XSE,Central Asia,CHN,CPA,OAS,WITCH_EASIA,EASIA,,,World,EARTH
MSR,R5LAM,XLM,Central America and Caribbean,RCAM,LAM,LAM,,,,,World,EARTH
MKD,R5OECD,XER,Europe_Non_EU,CEU,EEU,ROW,WITCH_TE,TE,,,World,EARTH
MLI,R5MAF,XAF,Africa_Western,WAF,AFR,AFR,WITCH_SSA,SSA,,,World,EARTH
MAR,R5MAF,XNF,Africa_Northern,NAF,MEA,MEA,WITCH_MENA,MENA,,,World,EARTH
MUS,R5MAF,XAF,Africa_Eastern,EAF,AFR,AFR,WITCH_SSA,SSA,,,World,EARTH
MRT,R5MAF,XAF,Africa_Western,WAF,AFR,AFR,WITCH_SSA,SSA,,,World,EARTH
MLT,R5OECD,XE25,EU-12,WEU,WEU,EUR,WITCH_MENA,MENA,EU27,EU28,World,EARTH
OMN,R5MAF,XME,Middle East,ME,MEA,MEA,WITCH_MENA,MENA,,,World,EARTH
MDV,R5ASIA,XSA,South Asia,RSAS,SAS,OAS,WITCH_SASIA,SASIA,,,World,EARTH
MEX,R5LAM,XLM,Mexico,MEX,LAM,LAM,WITCH_LACA,LACA,,,World,EARTH
MYS,R5ASIA,XSE,Southeast Asia,SEAS,PAS,OAS,WITCH_EASIA,EASIA,,,World,EARTH
MOZ,R5MAF,XAF,Africa_Southern,RSAF,AFR,AFR,WITCH_SSA,SSA,,,World,EARTH
MWI,R5MAF,XAF,Africa_Southern,RSAF,AFR,AFR,WITCH_SSA,SSA,,,World,EARTH
NCL,R5ASIA,XSA,Southeast Asia,OCE,PAS,OAS,WITCH_EASIA,EASIA,,,World,EARTH
NIU,R5ASIA,XSA,Southeast Asia,OCE,PAS,OAS,,,,,World,EARTH
NER,R5MAF,XAF,Africa_Western,WAF,AFR,AFR,WITCH_SSA,SSA,,,World,EARTH
ABW,R5LAM,XLM,Central America and Caribbean,RCAM,LAM,LAM,WITCH_LACA,LACA,,,World,EARTH
AIA,R5LAM,XLM,Central America and Caribbean,RCAM,LAM,LAM,,,,,World,EARTH
BEL,R5OECD,XE25,EU-15,WEU,WEU,EUR,WITCH_OLDEURO,EUROPE,EU27,EU28,World,EARTH
HKG,R5ASIA,CHN,China,CHN,CPA,CHN,WITCH_CHINA,CHINA,,,World,EARTH
MNP,R5ASIA,XSA,Southeast Asia,,PAS,OAS,WITCH_EASIA,EASIA,,,World,EARTH
FRO,R5OECD,XER,EU-15,WEU,WEU,EUR,WITCH_OLDEURO,EUROPE,,,World,EARTH
AND,R5OECD,XER,EU-15,WEU,WEU,ROW,WITCH_OLDEURO,EUROPE,,,World,EARTH
GIB,R5OECD,XER,EU-15,WEU,WEU,EUR,,,,,World,EARTH
IMN,R5OECD,XER,EU-15,,WEU,EUR,WITCH_OLDEURO,EUROPE,,,World,EARTH
LUX,R5OECD,XE25,EU-15,WEU,WEU,EUR,WITCH_OLDEURO,EUROPE,EU27,EU28,World,EARTH
MAC,R5ASIA,XSE,China,CHN,CPA,CHN,WITCH_CHINA,CHINA,,,World,EARTH
MCO,R5OECD,XER,EU-15,WEU,WEU,ROW,WITCH_OLDEURO,EUROPE,,,World,EARTH
PSE,R5MAF,XME,Middle East,ME,MEA,MEA,,,,,World,EARTH
MNE,R5OECD,XER,Europe_Non_EU,CEU,EEU,ROW,,,,,World,EARTH
MYT,R5OECD,XAF,Southeast Asia,,WEU,AFR,WITCH_SSA,SSA,,,World,EARTH
ALA,R5OECD,XER,,,WEU,EUR,,,,,World,EARTH
NFK,R5OECD,XSA,Southeast Asia,OCE,WEU,OAS,,,,,World,EARTH
CCK,R5ASIA,XSA,Southeast Asia,,PAS,OAS,,,,,World,EARTH
ATA,,,,,,ROW,,,,,World,EARTH
BVT,,,,,,ROW,,,,,World,EARTH
ATF,,,,,,OAS,,,,,World,EARTH
HMD,R5OECD,XSA,,,PAO,ROW,,,,,World,EARTH
IOT,R5OECD,XSA,,,WEU,OAS,,,,,World,EARTH
CXR,R5OECD,XSA,Southeast Asia,,PAO,OAS,,,,,World,EARTH
CUW,R5LAM,,Central America and Caribbean,RCAM,,LAM,,,,,World,EARTH
UMI,R5OECD,XSA,,,NAM,OAS,,,,,World,EARTH
VUT,R5ASIA,XSA,Southeast Asia,OCE,PAS,OAS,WITCH_EASIA,EASIA,,,World,EARTH
NGA,R5MAF,XAF,Africa_Western,WAF,AFR,AFR,WITCH_SSA,SSA,,,World,EARTH
NLD,R5OECD,XE25,EU-15,WEU,WEU,EUR,WITCH_OLDEURO,EUROPE,EU27,EU28,World,EARTH
NOR,R5OECD,XER,European Free Trade Association,WEU,WEU,ROW,WITCH_OLDEURO,EUROPE,,,World,EARTH
NPL,R5ASIA,XSA,South Asia,RSAS,SAS,OAS,WITCH_SASIA,SASIA,,,World,EARTH
NRU,R5ASIA,XSA,Southeast Asia,OCE,PAS,ROW,,,,,World,EARTH
SUR,R5LAM,XLM,South America_Northern,RSAM,LAM,LAM,WITCH_LACA,LACA,,,World,EARTH
NIC,R5LAM,XLM,Central America and Caribbean,RCAM,LAM,LAM,WITCH_LACA,LACA,,,World,EARTH
NZL,R5OECD,XOC,Australia_NZ,OCE,PAO,ROW,WITCH_CAJANZ,CAJAZ,,,World,EARTH
PRY,R5LAM,XLM,South America_Southern,RSAM,LAM,LAM,WITCH_LACA,LACA,,,World,EARTH
PER,R5LAM,XLM,South America_Southern,RSAM,LAM,LAM,WITCH_LACA,LACA,,,World,EARTH
PAK,R5ASIA,XSA,Pakistan,RSAS,SAS,OAS,WITCH_SASIA,SASIA,,,World,EARTH
POL,R5OECD,XE25,EU-12,CEU,EEU,EUR,WITCH_NEWEU,EUROPE,EU27,EU28,World,EARTH
PAN,R5LAM,XLM,Central America and Caribbean,RCAM,LAM,LAM,WITCH_LACA,LACA,,,World,EARTH
PRT,R5OECD,XE25,EU-15,WEU,WEU,EUR,WITCH_OLDEURO,EUROPE,EU27,EU28,World,EARTH
PNG,R5ASIA,XSA,Southeast Asia,INDO,PAS,OAS,WITCH_EASIA,EASIA,,,World,EARTH
GNB,R5MAF,XAF,Africa_Western,WAF,AFR,AFR,WITCH_SSA,SSA,,,World,EARTH
QAT,R5MAF,XME,Middle East,ME,MEA,MEA,WITCH_MENA,MENA,,,World,EARTH
REU,R5OECD,XAF,Africa_Eastern,EAF,WEU,AFR,,,,,World,EARTH
ROU,R5OECD,XER,EU-12,CEU,EEU,EUR,WITCH_TE,TE,EU27,EU28,World,EARTH
MDA,R5REF,CIS,Central Asia,UKR,FSU,ROW,WITCH_TE,TE,,,World,EARTH
PHL,R5ASIA,XSE,Southeast Asia,SEAS,PAS,OAS,WITCH_EASIA,EASIA,,,World,EARTH
PRI,R5OECD,XLM,USA,RCAM,NAM,USA,WITCH_LACA,LACA,,,World,EARTH
RUS,R5REF,CIS,Russia,RUS,FSU,RUS,WITCH_TE,TE,,,World,EARTH
RWA,R5MAF,XAF,Africa_Eastern,EAF,AFR,AFR,WITCH_SSA,SSA,,,World,EARTH
SAU,R5MAF,XME,Middle East,ME,MEA,MEA,WITCH_MENA,MENA,,,World,EARTH
KNA,R5LAM,XLM,Central America and Caribbean,RCAM,LAM,LAM,WITCH_LACA,LACA,,,World,EARTH
SYC,R5MAF,XAF,Southeast Asia,EAF,AFR,AFR,WITCH_SSA,SSA,,,World,EARTH
ZAF,R5MAF,XAF,South Africa,SAF,AFR,ROW,WITCH_SSA,SSA,,,World,EARTH
LSO,R5MAF,XAF,Africa_Southern,RSAF,AFR,AFR,WITCH_SSA,SSA,,,World,EARTH
BWA,R5MAF,XAF,Africa_Southern,RSAF,AFR,AFR,WITCH_SSA,SSA,,,World,EARTH
SEN,R5MAF,XAF,Africa_Western,WAF,AFR,AFR,WITCH_SSA,SSA,,,World,EARTH
SVN,R5OECD,XE25,EU-12,CEU,EEU,EUR,WITCH_NEWEU,EUROPE,EU27,EU28,World,EARTH
SLE,R5MAF,XAF,Africa_Western,WAF,AFR,AFR,WITCH_SSA,SSA,,,World,EARTH
SGP,R5ASIA,XSE,Southeast Asia,SEAS,PAS,OAS,WITCH_EASIA,EASIA,,,World,EARTH
SOM,R5MAF,XAF,Africa_Eastern,EAF,AFR,AFR,WITCH_SSA,SSA,,,World,EARTH
ESP,R5OECD,XE25,EU-15,WEU,WEU,EUR,WITCH_OLDEURO,EUROPE,EU27,EU28,World,EARTH
LCA,R5LAM,XLM,Central America and Caribbean,RCAM,LAM,LAM,WITCH_LACA,LACA,,,World,EARTH
SDN,R5MAF,XAF,Africa_Eastern,EAF,MEA,AFR,WITCH_SSA,SSA,,,World,EARTH
SSD,R5MAF,XAF,Africa_Eastern,EAF,MEA,AFR,,,,,World,EARTH
SXM,R5LAM,,Central America and Caribbean,RCAM,,LAM,,,,,World,EARTH
SWE,R5OECD,XE25,EU-15,WEU,WEU,EUR,WITCH_OLDEURO,EUROPE,EU27,EU28,World,EARTH
SYR,R5MAF,XME,Middle East,ME,MEA,MEA,WITCH_MENA,MENA,,,World,EARTH
CHE,R5OECD,XER,European Free Trade Association,WEU,WEU,ROW,WITCH_OLDEURO,EUROPE,,,World,EARTH
TTO,R5LAM,XLM,Central America and Caribbean,RCAM,LAM,LAM,WITCH_LACA,LACA,,,World,EARTH
THA,R5ASIA,XSE,Southeast Asia,SEAS,PAS,OAS,WITCH_EASIA,EASIA,,,World,EARTH
TJK,R5REF,CIS,Central Asia,STAN,FSU,MEA,WITCH_TE,TE,,,World,EARTH
TKL,R5OECD,XSA,Southeast Asia,OCE,PAO,OAS,,,,,World,EARTH
TON,R5ASIA,XSA,Southeast Asia,OCE,PAS,OAS,WITCH_EASIA,EASIA,,,World,EARTH
TGO,R5MAF,XAF,Africa_Western,WAF,AFR,AFR,WITCH_SSA,SSA,,,World,EARTH
STP,R5MAF,XAF,Africa_Western,WAF,AFR,AFR,WITCH_SSA,SSA,,,World,EARTH
TUN,R5MAF,XNF,Africa_Northern,NAF,MEA,MEA,WITCH_MENA,MENA,,,World,EARTH
TUR,R5OECD,TUR,Europe_Non_EU,TUR,WEU,ROW,WITCH_TE,TE,,,World,EARTH
TUV,R5ASIA,XSA,Southeast Asia,OCE,PAS,OAS,,,,,World,EARTH
TKM,R5REF,CIS,Central Asia,STAN,FSU,MEA,WITCH_TE,TE,,,World,EARTH
TZA,R5MAF,XAF,Africa_Southern,RSAF,AFR,AFR,WITCH_SSA,SSA,,,World,EARTH
UGA,R5MAF,XAF,Africa_Eastern,EAF,AFR,AFR,WITCH_SSA,SSA,,,World,EARTH
GBR,R5OECD,XE25,EU-15,WEU,WEU,EUR,WITCH_OLDEURO,EUROPE,,EU28,World,EARTH
UKR,R5REF,CIS,Central Asia,UKR,FSU,ROW,WITCH_TE,TE,,,World,EARTH
USA,R5OECD,USA,USA,USA,NAM,USA,WITCH_USA,USA,,,World,EARTH
BFA,R5MAF,XAF,Africa_Western,WAF,AFR,AFR,WITCH_SSA,SSA,,,World,EARTH
URY,R5LAM,XLM,South America_Southern,RSAM,LAM,LAM,WITCH_LACA,LACA,,,World,EARTH
UZB,R5REF,CIS,Central Asia,STAN,FSU,MEA,WITCH_TE,TE,,,World,EARTH
VCT,R5LAM,XLM,Central America and Caribbean,RCAM,LAM,LAM,WITCH_LACA,LACA,,,World,EARTH
VEN,R5LAM,XLM,South America_Northern,RSAM,LAM,LAM,WITCH_LACA,LACA,,,World,EARTH
VGB,R5OECD,XLM,EU-15,RCAM,WEU,LAM,,,,,World,EARTH
VNM,R5ASIA,XSE,Southeast Asia,SEAS,CPA,OAS,WITCH_EASIA,EASIA,,,World,EARTH
VIR,R5OECD,XLM,USA,RCAM,NAM,LAM,WITCH_USA,USA,,,World,EARTH
NAM,R5MAF,XAF,Africa_Southern,RSAF,AFR,AFR,WITCH_SSA,SSA,,,World,EARTH
WLF,R5OECD,XSA,EU-15,OCE,WEU,OAS,,,,,World,EARTH
WSM,R5ASIA,XSA,Southeast Asia,OCE,PAS,OAS,WITCH_EASIA,EASIA,,,World,EARTH
SWZ,R5MAF,XAF,Africa_Southern,RSAF,AFR,AFR,WITCH_SSA,SSA,,,World,EARTH
YEM,R5MAF,XME,Middle East,ME,MEA,MEA,WITCH_MENA,MENA,,,World,EARTH
ZMB,R5MAF,XAF,Africa_Southern,RSAF,AFR,AFR,WITCH_SSA,SSA,,,World,EARTH
ZWE,R5MAF,XAF,Africa_Southern,RSAF,AFR,AFR,WITCH_SSA,SSA,,,World,EARTH
IDN,R5ASIA,XSE,Indonesia,INDO,PAS,OAS,WITCH_EASIA,EASIA,,,World,EARTH
GLP,R5LAM,XLM,Central America and Caribbean,RCAM,LAM,LAM,,,,,World,EARTH
ANT,R5LAM,XLM,Central America and Caribbean,RCAM,LAM,,,,,,World,EARTH
ARE,R5MAF,XME,Middle East,ME,MEA,MEA,WITCH_MENA,MENA,,,World,EARTH
TLS,R5ASIA,XSE,Southeast Asia,SEAS,PAS,OAS,WITCH_EASIA,EASIA,,,World,EARTH
PCN,R5OECD,XSA,Southeast Asia,OCE,WEU,OAS,,,,,World,EARTH
PLW,R5ASIA,XSA,Southeast Asia,OCE,PAS,OAS,WITCH_EASIA,EASIA,,,World,EARTH
MHL,R5ASIA,XSA,Southeast Asia,OCE,PAS,OAS,WITCH_EASIA,EASIA,,,World,EARTH
SPM,R5OECD,XLM,EU-15,USA,WEU,ROW,,,,,World,EARTH
SHN,R5OECD,XAF,EU-15,WAF,WEU,AFR,,,,,World,EARTH
SMR,R5OECD,XER,EU-15,WEU,WEU,ROW,WITCH_OLDEURO,EUROPE,,,World,EARTH
TCA,R5LAM,XLM,EU-15,RCAM,LAM,LAM,,,,,World,EARTH
ESH,R5MAF,XAF,Africa_Northern,NAF,AFR,MEA,,,,,World,EARTH
SRB,R5OECD,XER,Europe_Non_EU,CEU,EEU,ROW,WITCH_TE,TE,,,World,EARTH
SRB (KOSOVO),R5OECD,,,,,,,,,,World,EARTH
VAT,R5OECD,XER,EU-15,,WEU,ROW,,,,,World,EARTH
SJM,R5OECD,XER,European Free Trade Association,,WEU,ROW,,,,,World,EARTH
MAF,R5OECD,XLM,,,WEU,ROW,,,,,World,EARTH
BLM,R5OECD,XLM,,,WEU,LAM,,,,,World,EARTH
GGY,R5OECD,XER,,,WEU,ROW,,,,,World,EARTH
JEY,R5OECD,XER,,,WEU,EUR,,,,,World,EARTH
SGS,R5OECD,XLM,,,WEU,ROW,,,,,World,EARTH
TWN,R5ASIA,XSE,Taiwan,CHN,PAS,OAS,,,,,World,EARTH
BES,,,,,,LAM,,,,,World,EARTH
